,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,efficiency,pressure ratio,,
1,0.44,10,49.74,6.06,74,79.5,55.2,89999.98128,0.01,100,0.71170837,1.0320144,,
2,0.316,11.7,45,5.03,71.9,82.6,59.5,81300,0.0111,97.6,0.44057304,1.012341834,,
3,0.485,9.44,43.6,5.46,75.6,81.1,55.8,92800,0.0104,95.3,0.637541,1.028828206,,
4,0.302,11.3,42.2,6.53,71.6,84.3,51.9,93900,0.00838,98.3,0.73561823,1.0344,,
5,0.352,10.2,43.2,5.34,72.9,70.8,57.1,81600,0.00938,98.3,0.58397418,1.018978942,,
6,0.535,8.48,41.9,6.03,71.1,71.1,50.4,85100,0.0113,101,0.58561629,1.02003604,,
7,0.493,9.3,40.1,6.08,68.2,83.5,57.5,88300,0.0108,98.7,0.57324666,1.016900507,,
8,0.557,10.7,45.8,6.66,68.7,80.5,56.6,97300,0.0108,97.6,0.71119553,1.033485041,,
9,0.588,11.2,48.4,5.47,70.2,74.2,52.5,84400,0.01,101,0.60987502,1.020994653,,
10,0.511,8.62,46.6,6.32,69,89.9,54.4,96900,0.00959,97.2,0.71999174,1.035799383,,
11,0.585,8.91,49.9,5.75,76.6,78,52.1,84900,0.00847,97.6,0.72117603,1.031195697,,
12,0.535,10.4,44.6,6.4,72,80.9,54.4,99100,0.0104,95.3,0.70731634,1.036102602,,
13,0.592,8.04,50,6.63,79.5,83.9,52.9,80600,0.00809,96.6,0.79120463,1.034209451,,
14,0.427,10.2,53.2,6.18,76.2,86.2,57,83500,0.00928,95.9,0.71741891,1.029491084,,
15,0.561,8.73,46.9,5.82,74.5,74,54.1,93900,0.00979,99.9,0.70637935,1.035133433,,
16,0.413,9.44,48.9,6.16,74.2,73.8,53.4,88200,0.0111,101,0.70634991,1.028898614,,
17,0.336,8.42,44.5,6.85,77.7,72.8,58,80900,0.0108,101,0.77450007,1.027590792,,
18,0.34,9.91,48.7,6.94,72.1,85,56,96100,0.00968,99.3,0.78926152,1.04264431,,
19,0.453,10.7,49,5.05,70.6,71.6,54,91800,0.00941,100,0.62263203,1.0274547,,
20,0.301,9.9,53.5,5.09,71.2,87.4,51.6,98100,0.0106,102,0.60071021,1.033657353,,
21,0.319,10.1,50.2,6.55,72.7,83.1,60,92700,0.0119,101,0.7140246,1.032165842,,
22,0.574,11.9,41.9,5.44,69.4,84.1,55.9,98000,0.0117,98.3,0.54312688,1.018611902,,
23,0.552,11,40,5.12,73.2,81.7,52,92000,0.00943,99.6,0.60700428,1.023315964,,
24,0.395,11.9,40.8,6.27,73.4,77.4,56.5,87900,0.0113,96.4,0.59510213,1.021769243,,
25,0.43,10.1,51,5.63,69,74,57.1,84200,0.00894,101,0.64489084,1.024097624,,
26,0.488,9.71,44,6.95,72.4,74.3,58.1,89200,0.00907,95.2,0.77376199,1.032753739,,
27,0.572,10.3,44.3,6.43,69.6,79.9,55.5,96600,0.012,96.4,0.6158694,1.027113019,,
28,0.567,9.78,41.1,5.5,72.6,70.5,52.6,96100,0.00925,97,0.66630465,1.030188062,,
29,0.374,8.3,49.2,6.74,74.9,73.6,57.7,92400,0.00827,101,0.74455935,1.041621584,,
30,0.481,10.3,41.9,6.43,71.3,76.4,53.2,94000,0.00832,96.5,0.72161698,1.03369171,,
31,0.524,10.4,53.2,5.17,74.8,85.8,55.4,91800,0.00863,101,0.62921715,1.033553168,,
32,0.43,9.95,48.8,5.53,79.6,83.6,49.8,80700,0.00842,96.6,0.72562075,1.027692567,,
33,0.434,9.6,41.6,5.54,70.1,72.5,59.8,84500,0.0109,95.8,0.47396624,1.015077881,,
34,0.41,11.8,40.2,6.2,72,89.5,55.1,95300,0.00854,102,0.729545,1.034618431,,
35,0.436,9.39,48.2,5.71,70.7,82.5,51.3,80400,0.0109,99,0.5939219,1.017849697,,
36,0.465,11.3,44.5,6.33,73.4,82.5,51.8,92300,0.00865,98.2,0.72431475,1.033999185,,
37,0.412,9.28,42.2,6.23,79.4,89.7,49.2,96100,0.00898,98,0.73694277,1.042451735,,
38,0.452,11,47.4,5.62,76.9,83.2,54,98800,0.011,97.3,0.68368119,1.037127646,,
39,0.353,8.94,52.8,5.13,79.3,84.9,59.1,84400,0.0102,97.7,0.65743971,1.027067758,,
40,0.455,8.62,49,6.97,73.2,73.7,49.7,98300,0.012,101,0.75205439,1.040549802,,
41,0.301,9.61,49.9,6.56,71.1,79.1,51.3,95800,0.0107,101,0.72381783,1.036611584,,
42,0.403,8.16,43.2,5.7,71.8,83.7,54.7,88100,0.0116,97.2,0.55995691,1.020423179,,
43,0.376,10.2,44.4,5.5,79.3,76.6,54.1,89300,0.00954,101,0.70799005,1.033377723,,
44,0.527,10.8,47.5,6.05,78.4,71.7,54.4,88400,0.00866,102,0.75433969,1.036668627,,
45,0.45,10.2,49,6.99,70.4,78.2,52.1,90800,0.00963,97.5,0.76835191,1.034295385,,
46,0.537,11.2,48.9,5.11,73.4,88.4,54.8,92100,0.0088,96.2,0.65107393,1.030290894,,
47,0.367,9.69,44.2,6.39,74,88,53.1,92200,0.011,99.1,0.70738691,1.031168214,,
48,0.331,11.9,42.8,6.2,78.6,86.2,50.5,88000,0.0105,100,0.69065726,1.0292073,,
49,0.387,9.63,41.6,6.09,73.8,76.6,52.6,85300,0.0095,99.6,0.67257869,1.025110643,,
50,0.342,9.1,46,6.71,69.1,78.9,50.9,88200,0.0102,102,0.7281158,1.028860784,,
51,0.537,9.96,48.7,6.45,71.8,74,52.5,83100,0.00929,96.8,0.72579694,1.026002386,,
52,0.425,11.7,43.9,6.54,73.3,85.1,55.3,92200,0.011,95.7,0.66725057,1.028084096,,
53,0.486,8.13,47.3,5.41,76.1,70.6,55.7,95100,0.00883,97.7,0.70239097,1.038091607,,
54,0.352,10.6,52.6,6.52,70.2,80.5,50.7,93200,0.0108,101,0.68271917,1.032467822,,
55,0.544,10.4,46.3,5.09,71.7,75,54.7,94600,0.0103,98.6,0.60349023,1.027538641,,
56,0.306,9,45.3,5.45,76.3,76.6,50.9,95900,0.00809,101,0.71338272,1.040668812,,
57,0.414,9.61,49.8,6.23,74.1,83.9,54.2,94800,0.00968,101,0.72638303,1.039156931,,
58,0.579,10.9,48,6.98,74.5,78.3,55,97400,0.0116,95.1,0.75006276,1.038332597,,
59,0.512,11.2,42,5.69,73.7,80,52.2,89800,0.0104,101,0.60279888,1.024467327,,
60,0.497,10.8,43.5,6.35,77.3,71.5,57,97200,0.00906,97.5,0.74269593,1.041975385,,
61,0.355,8.54,49.3,5.52,75.9,81.9,56,89800,0.00894,96.5,0.70826054,1.033629772,,
62,0.375,11.7,44.7,6.41,76.5,73.5,50.2,92500,0.00903,100,0.75126922,1.0373097,,
63,0.405,9.57,49.6,5.29,78.2,79,53.2,81300,0.0106,98,0.63916218,1.021884082,,
64,0.386,8.55,53.6,5.63,71.2,86.7,56.4,85900,0.00935,98.3,0.64402121,1.027275992,,
65,0.325,9.36,48.3,6.84,71,80.3,60,92600,0.00815,98.7,0.77435559,1.039942958,,
66,0.565,8.77,43.6,5.72,74.3,89.1,49.1,80800,0.0105,102,0.61164755,1.019605588,,
67,0.476,9.6,44.6,5.77,72.4,73.5,52,90300,0.0117,95.9,0.58546656,1.022373076,,
68,0.362,11.8,48.9,6.48,71.6,86.1,58.3,91700,0.00841,99.3,0.74730265,1.036053676,,
69,0.514,10.6,42.7,6.99,77.5,70.8,51.9,99600,0.00884,101,0.79504585,1.04984,,
70,0.361,9.84,41.8,5.95,80,82.3,54.9,82300,0.0108,95.2,0.61955488,1.021538782,,
71,0.337,11.2,53.9,6.62,73.3,72.4,53.7,86200,0.011,98.6,0.69801611,1.027683266,,
72,0.342,12,40.3,5.8,70.7,85.2,60,96200,0.0105,95.5,0.60995537,1.023923351,,
73,0.476,11.2,40.1,5.98,78.5,83.9,55,96600,0.0117,95.9,0.64703399,1.035727727,,
74,0.587,8.07,53,6.25,71.6,79.3,55.5,97300,0.00812,102,0.6403203,1.041443529,,
75,0.454,9.74,40.1,5.31,75.5,79.4,56.6,87500,0.00844,97.8,0.68898201,1.027921166,,
